ARABIC,ENGLISH
،,",,"
لا,no
من,From
في,in
أن,that
هذا,this
على,on me
ما,What
أنا,I
هل,Do you
و,And the
يا,Hey
ذلك,that
لقد,lhave
لم,did not
ماذا,what
كان,It was
هنا,over here
إلى,to me
أنت,You are
هو,he is
هذه,this is
عن,About
نعم,yes
ان,that
هناك,there
كل,All
حسناً,Well
ليس,Not
كنت,I was
فقط,Just
شيء,something
الآن,right Now
مع,with
الذي,that
لكن,but
أجل,Yes
لك,for you
يجب,Should
لن,will not
كيف,How
حسنا,Good
انا,I
لي,Mine
إنه,it's a
سوف,Will
نحن,we
إذا,if
كانت,she was
عندما,When
أي,Which
قد,may be
لماذا,Why
هي,she
الأمر,Order
أنه,it's a
فى,in
حتى,until
بعد,distance
كذلك,like that
أو,or
ولكن,But
قبل,Before
التي,that
انه,it's a
إنها,that it
ـ,-
لو,if
ربما,Probably
أين,where
هيا,Come on
تلك,That
أعرف,I know
الى,to me
إن,that
يكون,is being
بعض,some
أريد,I Wanna
أعتقد,I believe
انت,you
عليك,upon you
مثل,Such as
صحيح,Right
به,with it
أنك,You are
الوقت,the time
بخير,Fine
أعلم,Know
أحد,One
شخص,person
جداً,very
رجل,man
شكراً,Thanks
لذا,So
يمكن,Can
كما,as such
كلا,both
أكثر,more
يبدو,It seems
جيد,Good
تكون,Formation
علي,On
اليوم,today
يمكنك,you may
انها,that it
أليس,Alice
مرحباً,Welcome
لدي,I have
عليه,on him
آخر,else
لست,Prejudice
منذ,Ago
غير,not
أيها,O you
لديك,You have
حقاً,Oh really
أنتِ,you
تريد,You want
أستطيع,I can
الرجل,the man
تعرف,to get to know
له,for him
مرة,Once
لدينا,we've got
أنها,that it
يمكنني,I can
بأن,That
واحد,One
أنني,I am
أوه,Oh
سيكون,Will be
الناس,People
ليست,Not
حدث,Event
بها,In
أيضاً,also
أفضل,better
الكثير,Lots
علينا,We
سيدي,my lord
مكان,place
تفعل,are doing
وقت,time
يكن,Be
ط,I
شئ,a thing
بهذا,by this
وأنا,Me
اذا,if
جدا,very
بي,with me
أخرى,Others
آسف,Sorry
بك,Infection
رائع,Fabulous
بذلك,Thus
كم,how much
إذاً,if
ثم,then
شيئاً,Something
يوجد,exist
واحدة,one
ولا,Nor
قلت,I said
يحدث,is happening
بالطبع,naturally
شكرا,Thanks
مرحبا,Welcome
يوم,day
أبي,My Father
معك,With you
لها,to her
معي,with me
سيد,Mr
تعلم,Learn
إذن,So
العمل,the work
تم,It was completed
المكان,the place
الليلة,Tonight
إلهي,divine
لهذا,For this
فعل,an act
هكذا,thus
أمي,Mom
لذلك,So
ألا,Except
لـ,For
الان,right Now
حول,Around
بما,In
حقا,truly
الحقيقة,the truth
الجميع,everybody
يمكننا,We can
بالتأكيد,surely
لأن,because
لديه,he have
لنا,Our
خلال,During
ظ,P
بشكل,In a way
العالم,the scientist
فحسب,Just only
حال,State
الذهاب,going
عليها,on her
بـ,In
أعني,I mean
فعلت,she did
قال,He said
هم,they
المنزل,the home
عنه,about him
ها,Ha
بشأن,about
أفعل,I do
أكون,I be
اللعنة,the curse
للغاية,Extremely
فيه,in it
بين,between
أننا,We are
منك,From you
وهذا,and this is
لكِ,for you
جيدة,Good
يعني,You know?
مجرد,Just
أظن,I suspect
انك,You are
مني,Mona
أنّ,that
بالنسبة,about
الأمور,Matters
فكرة,idea
أم,Mother
متى,when
الشيء,Thing
المال,Money
كنا,We were
أقول,I say
عمل,a job
أبداً,Start
ستكون,it will be
عليّ,On
أيّ,Which
أمر,Command
تقول,Says
توقف,Stop
هؤلاء,these
السيد,the master
انظر,Look
لما,when
منه,from him
الطريق,The Road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,With
بحاجة,Need
بسبب,because of
الذين,Whose
تستطيع,Could you
بأس,Wicked
اي,Which
بدون,without
لكم,to you
تبدو,Appear
أرى,Show
الجحيم,Hell
تكن,Being
اعتقد,Think
عند,when
آسفة,sorry
حيث,Where
دائماً,Always
وأنت,And you
تحت,under
حسنًا,Good
تعال,Come
بالفعل,Already
بل,but
فضلك,Please
الأشياء,The things
ليلة,a night
نفسك,yourself
لكي,in order to
تعتقد,U think
وهو,and he
بحق,Right
مشكلة,problem
شيئا,Something
أرجوك,I beg you
أذهب,Go
يريد,Wants
تماماً,completely
الـ,The
الوحيد,the only
قتل,killing
إنهم,that they
الشخص,the person
رأيت,I have seen
عزيزتي,Darling
طوال,throughout
بهذه,With this
الشرطة,the police
الأن,Now
أحب,Loved
الذى,that
أيضا,Moreover
بنا,coffee beans
أردت,I wanted
أكن,Be
كلّ,All
النار,fire
سمعت,I heard
اجل,Yes
جميع,all
أَنْ,that
قليلاً,Little
مالذي,Cosmopolitical
بأنه,As
والآن,And now
إلي,to me
انتظر,wait
فتاة,girl
كبير,big
يعرف,Known
او,or
فيها,In which
حسنٌ,Hassan
الرجال,Men
اريد,I want
لأنه,Because he
السبب,the reason
سنوات,Years
الباب,The Door
نذهب,We go
دون,Without
حياتي,my life
لابد,It must
السيارة,The Car
تريدين,You want
خارج,Outside
ومن,And from
ثلاثة,three
فعله,To do
تذهب,Go
كانوا,they were
اذهب,Go
الحصول,Get
يقول,Says
الواقع,Indeed
كثيراً,Much
اعرف,I know
أنهم,that they
سبب,reason
كبيرة,big
مما,Than
أحتاج,I need
قمت,I did
إنّه,it's a
منها,Of which
كنتُ,I was
للتو,just yet
استطيع,I can
نوع,Type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
دولار,dollar
بأنك,You are
لأنني,because I
الأفضل,Better
دائما,Always
جديد,new
الامر,Matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,City
الخاص,The private
تعلمين,Learn
جميل,Nice
بسرعة,quickly
الأرض,Earth
لحظة,Moment
الطريقة,Method
طريقة,method
رائعة,amazing
سعيد,Happy
دقيقة,minute
لكنه,But he
غرفة,room
إليه,mechanism
التحدث,Talk
ثانية,second
دعني,Leave me
لكنني,But I am
الفتاة,the girl
لمَ,did not
ولم,And not
أنتم,you all
عظيم,great
انهم,that they
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,Myself
إليك,To you
قام,Stand up
لديها,she has
عام,general
اعلم,Know
يعمل,Works
سأكون,I'll be
عيد,Feast
رفاق,comrades
ألم,pain
لهم,for them
تعمل,Working
تتحدث,Spoke
القيام,The performance
الله,Allah
ساعة,hour
المرة,Bitter
هيّا,Come on
ترى,See
مهلاً,Hey
جاك,Jack
أنتَ,you
الخير,The good
متأكد,sure
جميعاً,All
أحاول,I'm trying
شيئ,something
الموت,the death
رقم,number
منهم,who are they
سيارة,car
مجدداً,again
ايها,O you
عنك,About you
يفعل,Do
فقد,Lost
ذهبت,I went
المزيد,More
أتمنى,I hope
مات,Die
يتم,Complete
لكني,But I am
طريق,road
وجدت,have found
وقد,Having
أول,first
معها,with her
سعيدة,happy
لدى,I have
أقصد,I mean
إلا,Except
صباح,morning
الرئيس,President
احد,One
فرصة,Chance
الأولى,First
تباً,Die
يرام,Dramatically
عليكِ,upon you
يكفي,It is enough
علاقة,Relationship
صغيرة,Small
الأقل,the least
لأنك,because you are
غريب,a stranger
لنذهب,Let's go
المدرسة,The school
ــ,-
الصباح,the morning
أفهم,I understand
حين,when
صديقي,My friend
سأذهب,I will go
أنكِ,You are
تأتي,Come
الخاصة,Special
أخبرني,tell me
تقوم,get up
نستطيع,We can
نفسه,Himself
التى,that
الأطفال,children
حالة,condition
لى,Mine
هى,she
يستطيع,Can
يجري,Being
سنة,year
نفعل,Do
أتعلم,you know what
نهاية,End
أفكر,think
أود,Preach
عشر,ten
شىء,something
أقوم,I do
الحب,the love
أنّه,it's a
كنتِ,I was
معاً,together
أى,Which
انني,I am
لديهم,They have
جديدة,New
يعلم,Know
قالت,She said
بدأت,Start
الأول,the first
دقائق,minutes
عني,About Me
سيدة,Mrs.
حالك,You are
إنني,I am
عزيزي,Dear
رجال,men
نعرف,We know
الجنس,Sex
؛,;
رؤية,Vision
ينبغي,Should
الي,to me
حصل,happened
معنا,With us
الطفل,Child
وليس,Not
كي,in order to
تحتاج,need
قليلا,Little
حياة,life
اسمع,Listen
الساعة,the hour
أكبر,Larger
اليس,Elice
فهمت,Understood
عنها,about her
أريدك,I want you
رجاءً,please
تفعله,Do it
وماذا,and what
ظننت,I thought
سيدتي,Madam
البعض,Some
الصغير,Little
تعني,Means
إنّها,that it
البيت,the house
رأيك,Your opinion
تكوني,You are
هُنا,over here
والدك,Your father
مهما,Whatever
العودة,Return
تماما,completely
لطيف,Nice
يقوم,get up
السجن,Prison
الليل,the night
السيدة,Ms
أخي,Brother
بأنني,That I am
طويلة,long
والدي,My father
وهي,Which
حان,Come
أقل,less
الهاتف,the phone
عبر,Across
مهلا,Hey
ترجمة,Translation
نحتاج,We need
أيتها,Oh
وما,gesticulate
اكثر,More
أتحدث,I speak
أيام,days
أحدهم,One of them
أولاً,Or not
الماضي,Past
أحبك,I love you
الطعام,the food
البقاء,Survival
معرفة,knowledge
العام,Year
أية,any
ل,to
أصبح,had become
ذات,In the same
الجديد,the new
مِنْ,From
لكنك,but you are
أبدا,Start
وضع,state
ً,A
طفل,Baby
فوق,above
حياتك,Life
داخل,inside
وكان,Be
نكون,We are
خطأ,Error
سام,Toxic
ونحن,Us
منزل,a house
تشعر,feel
عليهم,on them
المفترض,Assumed
نتحدث,we are talking
طويل,long
نصف,Half
فريق,Team
أخذ,Taking
الماء,water
لاحقاً,Later
حق,right
يأتي,Come
صديق,Friend
غداً,tomorrow
سأفعل,I will do
منا,from U.S
الصغيرة,Small
نريد,We want
وانا,Me
للمنزل,For home
ايضا,also
آه,Uh
خذ,take
جزء,part
لكنها,but she
جو,Atmosphere
أشياء,Things
كلمة,a word
تفعلين,You do
أعمل,Work
يمكنه,Can
الآخر,The other
تحاول,Tried
هَلْ,Do you
صغير,young
لستُ,I am not
بخصوص,Regarding
أخبرك,I tell you
الحال,adverb
بأي,With any
نظرة,a look
لأجل,For
الخروج,Exit
تظن,You think
النوم,sleep
الماضية,Past
دكتور,Dr
المرأة,woman
انظري,Look at
بد,Be
لمدة,Period
وجود,Presence
الحرب,the war
ذا,Be
تقلق,Worry
بلا,without
عرفت,I knew
ثلاث,three
هلا,Hello
أدري,I know
اللعين,Dreaded
ذهب,He went
الا,Except
المشكلة,the problem
الأسبوع,the week
الوحيدة,The only one
كله,Entire
تعالي,come
مايكل,Michael
إنك,You are
كلاّ,both
حاولت,I tried
أهلاً,Hello
دعونا,We Invited
اخرى,Other
أنّك,You are
وشك,Suspicious
فعلاً,Really
وسوف,will
عائلة,family
افعل,I do
عدم,non
أخبرتك,I told you
كثيرا,Much
سيدى,my lord
رئيس,president
فأنا,I am
الغرفة,the room
وحسب,According to
المساعدة,Help
الخارج,the outside
بعيداً,Away
أعطني,Give me
اذن,Ear
سيء,Bad
العديد,Many
أصبحت,I became
الطبيب,the doctor
رسالة,message
خمسة,five
كَانَ,It was
يذهب,he goes
العشاء,dinner
الفتيات,the girls
النساء,Women
ضد,against
تحصل,Obtain
نقوم,We do
جيدا,well
يهم,Important
بهم,They are
الموضوع,the topic
وفي,In
الممكن,Possible
اخر,else
الفتى,Boy
مباشرة,directly
بالأمر,By order
أتذكر,I remember
بيت,a house
مايك,Mike
لأني,because I am
بطريقة,in a way
ساعات,hours
حينما,While
فترة,a period
الأشخاص,People
نيويورك,New York
أراك,See you
أنتي,you
شكرًا,Thanks
اسم,Noun
قصة,a story
توجد,Exist
القادمة,Upcoming
امرأة,a woman
فتى,boy
أَنا,I
افضل,better
حقيقي,TRUE
بواسطة,by
مجنون,crazy
زوجتي,my wife
أهذا,Is this
متأكدة,Skeptical
ذاهب,Going
يحصل,Gets
تحب,Love
أتعرف,Know
النهاية,the end
مكتب,Desk
ولن,He will not
مثلك,same to you
اننا,We are
بالخارج,Outside
لهذه,For this
الحق,Right
بلى,indeed
أصدق,believe
أخر,else
آمل,hopefull
اه,Uh
أنْ,that
الإطلاق,Release
فرانك,Frank
طلب,Request
بدأ,seem
لعبة,Game
مرحبًا,Welcome
جورج,George
قريباً,almost
اني,that I
مجموعة,Collection
أمام,Before
الحديث,the talk
جي,J
مساعدتك,Your help
حاول,try to
شخصاً,A person
حقيقة,Reality
جميعا,All of all
اللقاء,Meeting
وبعد,After
مدى,Bezel
صورة,picture
بأنها,That is
سوى,but
التفكير,Thinking
الملك,the king
الأخيرة,Last
الثانية,the second
فهو,Being
مِن,From
تحدث,to speak
فيما,In
الوضع,the situation
عدد,Number
حفلة,a party
ولكني,But
لسنا,We are not
تبقى,Stay
بشيء,Something
مدينة,city
كهذا,Like this
كلها,all of which
انتهى,is over
كُلّ,All
يحاول,Try
نحو,Toward
أشهر,Months
مثير,Thrilling
شركة,a company
تفهم,Understand
اسف,Sorry
الجديدة,New
لكل,for every
أصدقاء,friends
النوع,Type
الجيد,Good
اى,Which
إليها,to her
بأني,By me
ميت,dead
بيننا,Between us
الرب,God
عملية,proces
ذو,Baccalaureate
بيتر,Peter
بعضنا,Some of us
القضية,the case
وكل,And all
أحضر,Bring
قيد,Restriction
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,Clear
دعيني,Leave me
تفضل,please enter
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Listen
تأخذ,Take
قول,say
العائلة,the family
بنفسك,by yourself
موعد,date
عندي,I have
أثناء,during
ممكن,maybe
تخبرني,You tell me
إذًا,if
الكبير,Great
صاح,Hoot
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,You
ولكنه,But
حبيبتي,My love
تذكر,to remember
أمك,Your mother
مستحيل,No way
اعتقدت,I believed
مليون,million
إليّ,to me
علم,Science
قل,Say
طلبت,Requested
ربّما,Probably
ذاك,that
حسن,Hassan
الأخرى,The other
يحتاج,Need
تعود,Return
الهي,divine
زلت,Remove
نسيت,I forgot
وصلت,Arrived
انتظري,Wait
نعلم,Teach
أنّي,that I
النظر,look
إذهب,Go
أتريد,you want to
عدة,several
سيحدث,It will happen
ابن,Son
لديكِ,You have
الصعب,Difficult
تقريباً,Approximately
الحظ,Luck
ألف,one thousand
مساعدة,help
تصبح,Become
سأقوم,I will do
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,Dr
الحقيقي,Real
منكم,You are from you
دي,De
يمكنكِ,you may
أربعة,four
القليل,Little
يزال,Remove
الدم,the blood
إننا,We are
أسرع,faster
البداية,the start
سأعود,I'll come back
صعب,Difficult
بعيدا,Away
كن,Be
عرض,Show
بكثير,Much
وعندما,And when
اسمه,its name
تفكر,Contemplate
آنسة,Ms
تعتقدين,You think
فقدت,Lost
مهم,Important
يتحدث,He speaks
بتلك,That
لأي,for any
بعدها,Then
يريدون,They want
يوماً,One day
يعود,Back
جاء,came
هُناك,there
أتعلمين,You know
ترك,to leave
المناسب,the appropriate
السؤال,the question
اكون,I be
الآخرين,Others
تقصد,You mean
اتصل,Call
تبدين,You look
للعمل,for work
معهم,With them
التالي,next one
شرطة,police
قط,Never
جريمة,a crime
أبحث,Search
توقفي,Stop
بنفسي,by myself
الشمس,the sun
فكرت,I think
يفترض,Supposedly
السماء,The sky
الوصول,Access
الجانب,the side
أحصل,Get
عشرة,ten
معا,together
الداخل,Inside
أعود,I come back
المعلومات,the information
تحمل,Bearing
حَسناً,Good
أطفال,Children
الثاني,Second
جيّد,Good
هذة,this is
ببعض,Some
يارجل,Hey man
ماري,Marie
بكم,with you
وداعاً,Good-bye
يعد,Prepare
الأيام,the days
أسوأ,worst
مشاكل,Problems
